# Transcrição da lista "cheias de Brusque 2019–2024" publicada pela Rádio Cidade,
# https://rc.fm.br/web/page_noticia/id_981258/ , matéria de 21/05/2024 15h18, crédito
# SECOM/Prefeitura de Brusque, dados da Defesa Civil. Lida e colada pelo Jefferson em
# 09/09/2026 (o host não responde deste ambiente). 19 linhas; 29/10/2023 aparece DUAS vezes
# na fonte, com 5,09 e 5,66 m. É imprensa citando a prefeitura: confianca media.
data	pico_m
2019-05-31	5.90
2020-12-12	5.30
2020-12-15	5.08
2021-01-24	4.82
2021-10-12	5.68
2022-12-01	5.03
2022-12-20	5.14
2023-10-05	6.85
2023-10-08	6.76
2023-10-09	6.70
2023-10-13	6.91
2023-10-17	4.79
2023-10-29	5.09
2023-10-29	5.66
2023-11-03	5.62
2023-11-16	7.92
2023-11-17	8.96
2023-11-29	5.39
2024-05-19	7.58
