codigo,tipo,nome,latitude,longitude,nivel_m,coletado_em
DCSC-00001,Hidro,Agronômica,-27.25800,-49.71219,4.66,2026-09-13T23:05:01Z
DCSC-00003,Hidro,Ascurra,-26.96129,-49.37290,8.35,2026-09-13T23:05:01Z
DCSC-00004,Hidro,Benedito Novo,-26.78194,-49.36533,3.88,2026-09-13T23:05:01Z
DCSC-00005,Hidro,Gaspar,-26.92641,-48.96428,,2026-09-13T23:05:01Z
DCSC-00006,Hidro,Indaial,-26.91091,-49.26995,6.39,2026-09-13T23:05:01Z
DCSC-00007,Hidro,Pomerode,-26.73285,-49.17579,0.78,2026-09-13T23:05:01Z
DCSC-00008,Meteo,Aurora,-27.35730,-49.63985,,2026-09-13T23:05:01Z
DCSC-00009,Meteo,Itaiópolis,-26.57145,-49.82243,,2026-09-13T23:05:01Z
DCSC-00010,Pluvio,Rio do Campo,-26.89585,-50.15508,,2026-09-13T23:05:01Z
DCSC-00011,Hidro,Rio dos Cedros 1,-26.74001,-49.27269,1.71,2026-09-13T23:05:01Z
DCSC-00012,Meteo,Rio dos Cedros 2,-26.59775,-49.47667,,2026-09-13T23:05:01Z
DCSC-00013,Hidro,Rio do Sul,-27.20722,-49.63350,5.46,2026-09-13T23:05:01Z
DCSC-00014,Meteo,Trombudo Central 1,-27.27482,-49.81140,,2026-09-13T23:05:01Z
DCSC-00015,Meteo,Witmarsum,-26.91574,-49.83957,,2026-09-13T23:05:01Z
DCSC-00016,Hidro,Alfredo Wagner,-27.69037,-49.34509,,2026-09-13T23:05:01Z
DCSC-00018,Hidro,Botuverá 1,-27.18619,-49.12059,3.19,2026-09-13T23:05:01Z
DCSC-00019,Hidro,Brusque,-27.10068,-48.91722,1.77,2026-09-13T23:05:01Z
DCSC-00020,Hidro,Ibirama,-27.05700,-49.51995,2.67,2026-09-13T23:05:01Z
DCSC-00021,Hidro,José Boiteux,-26.95484,-49.63359,3.06,2026-09-13T23:05:01Z
DCSC-00022,Hidro,Rio do Oeste,,-49.80753,,2026-09-13T23:05:01Z
DCSC-00023,Hidro,Timbó 1,-26.83755,-49.27077,2.46,2026-09-13T23:05:01Z
DCSC-00024,Hidro,Vidal Ramos,-27.38548,-49.35813,2.54,2026-09-13T23:05:01Z
DCSC-00025,Hidro,Agrolândia,-27.41253,-49.83267,0.92,2026-09-13T23:05:01Z
DCSC-00026,Meteo,Blumenau,-26.92245,-49.13543,,2026-09-13T23:05:01Z
DCSC-00027,Meteo,Botuverá 2,-27.19987,-49.07399,,2026-09-13T23:05:01Z
DCSC-00028,Hidro,Doutor Pedrinho,-26.71423,-49.48504,2.52,2026-09-13T23:05:01Z
DCSC-00029,Hidro,Guabiruba,-27.08678,-48.97739,24.83,2026-09-13T23:05:01Z
DCSC-00030,Hidro,Ilhota,-26.89443,-48.82478,9.96,2026-09-13T23:05:01Z
DCSC-00031,Hidro,Laurentino,-27.22269,-49.73174,5.49,2026-09-13T23:05:01Z
DCSC-00032,Hidro,Lontras,-27.16572,-49.54632,5.50,2026-09-13T23:05:01Z
DCSC-00033,Hidro,Pouso Redondo,-27.25750,-49.94143,2.20,2026-09-13T23:05:01Z
DCSC-00034,Meteo,Timbó 2,-26.82294,-49.27522,,2026-09-13T23:05:01Z
DCSC-00035,Hidro,Trombudo Central 2,-27.31216,-49.79677,1.10,2026-09-13T23:05:01Z
DCSC-00036,Meteo,Vitor Meireles,-26.88063,-49.83960,,2026-09-13T23:05:01Z
DCSC-00037,Pluvio,Dona Emma,-26.98599,-49.72979,,2026-09-13T23:05:01Z
DCSC-00038,Barragem,Barragem Sul (Ituporanga),-27.50385,-49.55360,19.13,2026-09-13T23:05:01Z
DCSC-00039,Hidro,Ituporanga,-27.48225,-49.58248,3.42,2026-09-13T23:05:01Z
DCSC-00040,Barragem,Barragem Oeste (Taió),-27.09744,-50.03879,19.29,2026-09-13T23:05:01Z
DCSC-00041,Hidro,Taió,-27.11635,-50.00027,4.51,2026-09-13T23:05:01Z
DCSC-00043,Hidro,Presidente Getúlio,-27.04550,-49.62428,2.30,2026-09-13T23:05:01Z
DCSC-00044,Meteo,Brusque,-27.11792,-48.92435,,2026-09-13T23:05:01Z
DCSC-00061,Hidro,Camboriú,-27.01840,-48.65250,-0.07,2026-09-13T23:05:01Z
DCSC-00062,Hidro,Luiz Alves,-26.71532,-48.90987,52.23,2026-09-13T23:05:01Z
DCSC-00064,Meteo,Santa Terezinha,-26.65420,-49.98740,,2026-09-13T23:05:01Z
DCSC-00065,Hidro,Salete,-26.98270,-50.01100,399.94,2026-09-13T23:05:01Z
DCSC-00066,Hidro,Taió (2),-27.05170,-50.11270,377.56,2026-09-13T23:05:01Z
DCSC-00067,Hidro,Aurora,-27.31750,-49.63810,342.54,2026-09-13T23:05:01Z
DCSC-00068,Hidro,Presidente Nereu,-27.28028,-49.39261,384.48,2026-09-13T23:05:01Z
DCSC-00085,Hidro,Ituporanga (2),-27.41597,-49.60371,362.04,2026-09-13T23:05:01Z
DCSC-00086,Hidro,Atalanta,-27.40060,-49.71800,453.42,2026-09-13T23:05:01Z
DCSC-00087,Hidro,Alfredo Wagner (2),-27.70120,-49.33620,455.54,2026-09-13T23:05:01Z
DCSC-00125,Hidro,Rio do Campo,-26.94090,-50.14400,576.22,2026-09-13T23:05:01Z
DCSC-00129,Meteo,Braço do Trombudo,-27.40990,-49.90170,,2026-09-13T23:05:01Z
DCSC-00143,Meteo,Bombinhas,-27.17820,-48.50300,,2026-09-13T23:05:01Z
DCSC-00146,Hidro,Petrolândia,-27.53580,-49.69700,450.40,2026-09-13T23:05:01Z
DCSC-00153,Hidro,Santa Terezinha - Itaiópolis,-26.60210,-49.91010,391.37,2026-09-13T23:05:01Z
DCSC-00159,Hidro,Penha,-26.78490,-48.64630,0.19,2026-09-13T23:05:01Z
DCSC-00160,Meteo,Balneário Camboriú - Hospital Ruth Cardoso,-27.00641,-48.63619,,2026-09-13T23:05:01Z
DCSC-00161,Meteo,Balneário Camboriú - Av. das Gaivotas,-26.96813,-48.64281,,2026-09-13T23:05:01Z
DCSC-00162,Hidro,Mirim Doce,-27.20070,-50.07060,348.86,2026-09-13T23:05:01Z
DCSC-00163,Hidro,Ilhota - Arraial dos Cunhas,-26.96680,-48.79920,1.06,2026-09-13T23:05:01Z
DCSC-00166,Meteo,Rodeio,-26.92189,-49.37400,,2026-09-13T23:05:01Z
DCSC-00168,Meteo,Barra Velha,-26.62932,-48.68359,,2026-09-13T23:05:01Z
DCSC-00171,Hidro,Taió (3),-27.09820,-50.03700,342.73,2026-09-13T23:05:01Z
DCSC-00178,Hidro,Apiúna,-27.03652,-49.39355,81.85,2026-09-13T23:05:01Z
DCSC-00179,Hidro,Rio do Oeste,-27.19863,-49.78654,337.68,2026-09-13T23:05:01Z
