protocolo,data_evento,data_registro,ano,municipio,cod_ibge,bacia,cobrade,tipo,status,mortos,feridos,desabrigados,desalojados,desaparecidos,danos_humanos_total,outros_afetados,casas_danificadas,casas_destruidas,danos_materiais_rs,prejuizos_rs
SC-D-4202404-12200-19911015,1991-10-15,1991-10-15,1991,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4205902-12200-19911112,1991-11-12,1991-11-12,1991,Gaspar,4205902,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4206306-12200-19911113,1991-11-13,1991-11-13,1991,Guabiruba,4206306,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4207106-12200-19911113,1991-11-13,1991-11-13,1991,Ilhota,4207106,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4202404-12200-19920221,1992-02-21,1992-02-21,1992,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4211306-12100-19920304,1992-03-04,1992-03-04,1992,Navegantes,4211306,acu,12100,Inundação,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-R-4205902-12100-19920529,1992-05-29,1992-05-29,1992,Gaspar,4205902,acu,12100,Inundação,Registro,0,69,300,2530,0,2899,0,0,0,0.0,0.0
SC-P-4201703-12200-19920608,1992-06-08,1992-06-08,1992,Ascurra,4201703,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4202206-12100-19920608,1992-06-08,1992-06-08,1992,Benedito Novo,4202206,acu,12100,Inundação,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-R-4202404-12200-19930208,1993-02-08,1993-02-08,1993,Blumenau,4202404,acu,12200,Enxurrada,Registro,1,0,7,1,0,9,0,0,0,0.0,0.0
SC-P-4202404-12200-19940228,1994-02-28,1994-02-28,1994,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4218202-12200-19940513,1994-05-13,1994-05-13,1994,Timbó,4218202,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-R-4201257-12200-19950109,1995-01-09,1995-01-09,1995,Apiúna,4201257,acu,12200,Enxurrada,Registro,0,0,0,98,0,98,0,0,0,0.0,0.0
SC-R-4202206-12100-19950109,1995-01-09,1995-01-09,1995,Benedito Novo,4202206,acu,12100,Inundação,Registro,0,5,0,121,0,126,0,0,0,0.0,0.0
SC-R-4219200-12200-19950109,1995-01-09,1995-01-09,1995,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,5,1,0.0,0.0
SC-D-4202701-12200-19950110,1995-01-10,1995-01-10,1995,Botuverá,4202701,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-R-4215109-12200-19950110,1995-01-10,1995-01-10,1995,Rodeio,4215109,acu,12200,Enxurrada,Registro,0,0,0,50,0,50,0,0,0,0.0,0.0
SC-P-4207502-12200-19950112,1995-01-12,1995-01-12,1995,Indaial,4207502,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-R-4208500-12200-19950112,1995-01-12,1995-01-12,1995,Ituporanga,4208500,acu,12200,Enxurrada,Registro,0,0,0,284,0,284,0,0,0,0.0,0.0
SC-D-4208203-12200-19950201,1995-02-01,1995-02-01,1995,Itajaí,4208203,ambos,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4214805-12200-19950201,1995-02-01,1995-02-01,1995,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4202404-12200-19950211,1995-02-11,1995-02-11,1995,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4202909-12200-19960108,1996-01-08,1996-01-08,1996,Brusque,4202909,mirim,12200,Enxurrada,Registro,0,0,0,3,0,3,250,0,0,0.0,0.0
SC-P-4206306-12200-19960109,1996-01-09,1996-01-09,1996,Guabiruba,4206306,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4217808-12100-19960119,1996-01-19,1996-01-19,1996,Taió,4217808,acu,12100,Inundação,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4215109-12200-19970123,1997-01-23,1997-01-23,1997,Rodeio,4215109,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4205902-12200-19970201,1997-02-01,1997-02-01,1997,Gaspar,4205902,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4208500-12200-19970201,1997-02-01,1997-02-01,1997,Ituporanga,4208500,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4214805-12100-19970201,1997-02-01,1997-02-01,1997,Rio do Sul,4214805,acu,12100,Inundação,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4201257-12200-19970202,1997-02-02,1997-02-02,1997,Apiúna,4201257,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,1947212.51,0.0
SC-A-4201703-12200-19970202,1997-02-02,1997-02-02,1997,Ascurra,4201703,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,1136881.84,0.0
